id,tweet_text,tweet_date,sentiment,query_used
1027376569449410562,@dilsonramoslima #Fato Acho que o Roger é um bom nome p o @Flamengo,Thu Aug 09 02:10:36 +0000 2018,Neutro,#fato
1026566106599833600,#NOVIDADE! @LATAM_BRA acaba de anunciar novo voo direto e inédito entre #PortoAlegre e #Santiago no #Chile! As vendas já estão sendo feitas e o a nova rota já tem data para iniciar: 19/01/2019! https://t.co/bqISaSBD2F,Mon Aug 06 20:30:07 +0000 2018,Neutro,#novidade
1026445716808445952,"Quando tem #novidade😆 tem @novafm103 na área! @fernandoesorocaba #CadaUmNaSua ""Já imaginou que absurdo você viver sem o que mais ama no mundo..."" 😉 https://t.co/e2mcwezisd",Mon Aug 06 12:31:43 +0000 2018,Neutro,#novidade
1025980728356626434,@RiodeNojeira #Novidade Taí o sucesso dos filhos de #LuLa que quando perguntado das empresas do filho disse: “meu filho é o Ronaldinho Gaúcho dos negócios”,Sun Aug 05 05:44:02 +0000 2018,Neutro,#novidade
1025531221978308608,"[Livro/Novidades] Segredos, uma história de Luana Araújo #livro #book #segredos #romance #fantasia #anjos #vampiros #lobos #lúcifer #dicadelivro #lançamento #novidade https://t.co/LvTRnElgBP https://t.co/uPZUNtrDR3",Fri Aug 03 23:57:51 +0000 2018,Neutro,#novidade
1025410940047638529,#novidade semana que vem no site da Prikota Store https://t.co/59YLkLWxZK,Fri Aug 03 15:59:53 +0000 2018,Neutro,#novidade
1027238593419505665,Turcos buscando asilo na Alemanha atingem alta recorde em julho https://t.co/NQN7YjV0qh #Turquia #Alemanha #asilo #recorde #julho #refugiados #noticia,Wed Aug 08 17:02:20 +0000 2018,Neutro,#noticia
1027172418199216128,"COMAD PROMOVE CURSO DE CAPACITAÇÃO DE AGENTES MULTIPLICADORES NA PREVENÇÃO AO USO DE DROGAS Com parceria do Denarc, através da Dipe, o curso emitirá certificado 📰Notícia Completa 🌐 https://t.co/D8v3VzeU9o #indaiatuba #guialiveindaiatuba #noticia #divulgação #informação https://t.co/pHSni26NDh",Wed Aug 08 12:39:23 +0000 2018,Neutro,#noticia
1027141269317926914,"A partir das 17 horas tem programa CONCILIANDO AS DIFERENÇAS, com transmissão pela Rádio Universitária. Hoje nossas entrevistadas são a desembargadora Sueli Pini e a servidora Sônia Ribeiro. Sintonize na Rádio 96.9 FM #Comunicação #Notícia #Informação #Transparência https://t.co/7nHlKh5NEN",Wed Aug 08 10:35:36 +0000 2018,Neutro,#noticia
1026948279047729152,#Notícia: Fronteira do Brasil foi reaberta para imigrantes venezuelanos https://t.co/L4XuktQvIR,Tue Aug 07 21:48:44 +0000 2018,Neutro,#noticia
