id;tweet_text;tweet_date;sentiment;query_used
1023730007871500288;Hj veio chocado dizendo q viu q o Jair ia liberar a caça de bicho adoidado, e aí eu fui explicar e mostrei o vídeo dele falando que era fake news e tal. Só de ver tanta mentira q inventam, ele já tá simpatizando pelo Bolsonaro. Eu só digo uma coisa: BATAM MAIS :D;Mon Jul 30 00:40:28 +0000 2018;1;bolsonaro :)
1023731687405117440;@raphaelsmuniz Nenhum nem outro :) Mandato Coletivo é um formato de representação (pode existir em qualquer partido). Este especificamente (@mandatodos) tá sendo construído por independentes dentro e fora do PSOL, MTST e Conselho Indígena do DF. Aí esses atores tão dando a linha política.;Mon Jul 30 00:47:08 +0000 2018;1;PSOL :)
1023768078520397824;Ela é Campeã, e isso vai ficar pra SEMPRE! Pq Não é pra qualquer uma/um. É pra quem entrou lá no @bbb E conquistou o Melhor fandom. 58% de mais de 140 Milhões de votos. 💪❤ #EmillyCampeã #Orgulho https://t.co/5wM4JgkDNc;Mon Jul 30 03:11:45 +0000 2018;1;#orgulho
1023768585662095361;@karevshennig Somos quase atletas dessa modalidade...#orgulho;Mon Jul 30 03:13:46 +0000 2018;1;#orgulho
1023772664828252160;Kkkkk Sapatão raiz é assim: Eleitora confesso de Bolsonaro, nãovitimista, não mimizenta, desce o kct - verbal, obviamente, :D - na ideologia do de gênero, e desmente veementemente que Bolsonaro seja racista, homofóbico ou fascista. Não deixem de... https://t.co/xGy3m7TVXX;Mon Jul 30 03:29:58 +0000 2018;1;bolsonaro :)
1023772928771596288;Toda mulher bonita de verdade faz duas coisas: vota no Bolsonaro e reza todos os dias. E você, é bonita de verdade :)? — Não https://t.co/qoR76p3PQY;Mon Jul 30 03:31:01 +0000 2018;1;bolsonaro :)
1023773390799286272;A casa grande surta quando a senzala faz sucesso. @RACIONAISCN @ManoBrownOF @BoogieNaipe @criolomc #favela #pobresofredor #orgulho #fã https://t.co/37Svyr7457;Mon Jul 30 03:32:51 +0000 2018;1;#orgulho
1023774990284533762;Muito feliz em dividir o plantão com meu sobrinho e quase filho lucasmedeirooos . Ele está no 2º ano de medicina e já me acompanha em plantões. #Orgulho https://t.co/fMfjGSKkOn;Mon Jul 30 03:39:13 +0000 2018;1;#orgulho
1023785622685868032;@JMarcelo1000 Brasil ainda tem jeito #orgulho;Mon Jul 30 04:21:28 +0000 2018;1;#orgulho
1023788992138039296;e a minha familia que eh mt organizada ???? #orgulho https://t.co/dWVrL7bNSg;Mon Jul 30 04:34:51 +0000 2018;1;#orgulho
1023789538597060609;#pobre sim e com #orgulho Tirei 14 de 16! Será que você consegue se dar melhor? https://t.co/Jm00ECvx4r;Mon Jul 30 04:37:01 +0000 2018;1;#orgulho
1023789591537639424;talu tá vendo lucifer agora #orgulho;Mon Jul 30 04:37:14 +0000 2018;1;#orgulho
1023801970270904320;o meu primeiro gif #orgulho de mim mesma 😍 https://t.co/L36H7HUHoe;Mon Jul 30 05:26:25 +0000 2018;1;#orgulho
1023808560675864577;Você namora gatinha ??? — Nop :p https://t.co/Pww1s7F0LQ;Mon Jul 30 05:52:36 +0000 2018;1;comunista :)
1023825242601545728;Bom dia :-);Mon Jul 30 06:58:54 +0000 2018;1;ciro :)
1023829509617922048;ve se pode vamos fazer um ot3 de nct dream ###orgulho;Mon Jul 30 07:15:51 +0000 2018;1;#orgulho
1023846089076731904;PARABÉNS AOS CAMPEÕES EUROPEUS SUB-19!!! 🏆 A mesma geração conquista o Euro Sub-17 e Sub-19! QUE ORGULHO NESTA EQUIPA! #orgulho Parabéns em especial ao Zé Gomes, Mesaque Dju, Florentino Luís, Nuno Santos e Jota! Continuem o grande trabalho e nunca desistam! Lutem até ao fim! https://t.co/73xcHkXmRN;Mon Jul 30 08:21:44 +0000 2018;1;#orgulho
1023846295738503169;"@clayton_romano @danielfrizon @jairbolsonaro Isso ai :) vai confiando nos seus pontos de vistas de ""GOVERNABILIDADE"" e continue sendo estuprado pelo governo... Vai confiando, vai...";Mon Jul 30 08:22:33 +0000 2018;1;governo :)
1023852054207447040;Bom dia! Semana começou já :) vamos bater um papo? hoje no jornal falaremos sobre o estado de saúde das vítimas da queda do avião no Campo de Marte - que terminou com a morte do piloto. Também sobre o pedido da defesa de Cabral a Michel Temer para mudar decisão de Braga Neto...;Mon Jul 30 08:45:26 +0000 2018;1;temer :)
1023879762824126464;"@kerberdiego @Joao_GAN ""Esse é meu garoto"", meu #orgulho";Mon Jul 30 10:35:32 +0000 2018;1;#orgulho
1023885888676417536;@JanainaDoBrasil É só votar e fazer campanha p João Amoêdo do Partido :);Mon Jul 30 10:59:53 +0000 2018;1;joao amoedo :)
1023889011545464837;@vegetarinando é vereador da camara de Lisboa, mas não há drama. Apenas hipocrisia. Ele defente o contrário do que ele esta a fazer. Claro que muita gente o fazia, mas então que se reposicione na ideologia politica :D;Mon Jul 30 11:12:17 +0000 2018;1;politica :)
1023895670477004800;@alexalmeida98 Fernando Pessoa tem um texto chamado Nacionalismo Liberal :) apesar de aquilo politicamente não ser a coisa mais precisa de sempre, e ter coisas com que discordo, é um texto interessante;Mon Jul 30 11:38:45 +0000 2018;1;liberal :)
1023906910934913024;Duvido que saia antes das eleições. :D https://t.co/4WN3x0ZsLt;Mon Jul 30 12:23:25 +0000 2018;1;governo :)
1023908530250821632;"É bronca :) ""Armando Monteiro representa renovação política"" diz Mendonça Filho... que quer eleger tb o filho e a irmã nas eleições 🤘🏽🤘🏽 https://t.co/V79w1g959n";Mon Jul 30 12:29:51 +0000 2018;1;politica :)
1023916346382462976;@FeNoga E assim, eu disse governo mas queria dizer em todas as esferas, porque de prefeito a gente também tem vindo mal tem tempo. :-);Mon Jul 30 13:00:55 +0000 2018;1;governo :)
1023918875941986304;O centrão é tão asqueroso quando qualquer um que esteja no comando. Inclusive tão asqueroso quanto o Bolsonaro que passou toda sua carreira politica num cantinho escuro do centrão. Só saiu do PP porque o progressistas não quis homologar ele pra presidência. :) https://t.co/krrdLghApQ;Mon Jul 30 13:10:58 +0000 2018;1;bolsonaro :)
1023919997985406977;@jairbolsonaro @lemondefr França ganhou a copa mas quem ganha meu voto é o Bolsonaro :p;Mon Jul 30 13:15:25 +0000 2018;1;bolsonaro :)
1023920351544311808;@Whackybus @lipefleming Esquerdista é tudo assim, se diz liberal, fala que está aberto a conversas, mas se alguém que pensa diferente vai falar com ele, é so xingamento, chama de fascista e o caralho, Que bom saber que você é um deles :);Mon Jul 30 13:16:49 +0000 2018;1;esquerdista :)
1023921718040178691;Acabei de descobrir q n tenho nenhum amigo(a) hétero... Sério, td mundo é LGBTQ+. AAAAAAAAAA 💜💙💚💛❤️ #lgbt #LGBTQ #pride #orgulho;Mon Jul 30 13:22:15 +0000 2018;1;#orgulho
1023922307839021057;O joio e o trigo tem crescido dentro da igreja. Muita fofoca. Muita confusão. Poucas orações. #orgulho;Mon Jul 30 13:24:36 +0000 2018;1;#orgulho
1023923021197832193;Na semana passada o @Estadao se encontrou com parte da @REDE_18. A ideia era uma bate papo sobre o partido, o apoio a @MarinaSilva e a nossa visão sobre o que estamos fazendo: uma #NovaPolítica!! A matéria completa deve sair ainda essa semana :) https://t.co/MzEUPqi0iw;Mon Jul 30 13:27:26 +0000 2018;1;partido esquerda :)
1023924026304094208;É tão bom quando vc pode conversar com alguém sobre orientação sexual, gênero etc, numa boa. É a melhor sensação, vc se sentir aceito e n ser julgado pelo q vc é, e poder falar sobre isso livremente é maravilhoso #LGBT #LGBTQ #pride #orgulho;Mon Jul 30 13:31:26 +0000 2018;1;#orgulho
1023927598890606592;@TratorTunado Bolsonaro sempre e a melhor opção :P;Mon Jul 30 13:45:37 +0000 2018;1;bolsonaro :)
1023932163069239297;@FreeOfHypocrisy Epá, eu concordo que o António Gueterres não é um político de esquerda mas dai a dizer que acabar com o SMO é uma política de direita :)));Mon Jul 30 14:03:46 +0000 2018;1;politica :)
1023934543454248961;oi vão votar no jimin :) https://t.co/J1rNyp7Dcb;Mon Jul 30 14:13:13 +0000 2018;1;votar :)
1023935247002624000;https://t.co/7CVmJVd2Y8 Não tinha visto essa do Alckmin :-) Crítica à Fapesp por pesquisas sem utilidade...;Mon Jul 30 14:16:01 +0000 2018;1;alckmin :)
1023936994886475776;É hoje meus amigos, hoje tem vídeo clipe novo no cana oficial do BFP no YouTube, vamos fortalecer, #Orgulho https://t.co/k07wj9cqL4;Mon Jul 30 14:22:58 +0000 2018;1;#orgulho
1023943435366162432;Vivi nesta cidade comunista durante 4 meses. Sim, é tão assustadora como parece :) https://t.co/h10v4pZsbV;Mon Jul 30 14:48:33 +0000 2018;1;comunista :)
1023944106110869505;Ontem comecei a fazer posts para a @Dragliciouz por volta de 20h30 e fui terminar depois de 1h da manhã. Fui dormir EXAUSTO, mas muito feliz com o resultado. É isso que quero para minha vida neste momento, produzir conteúdo de qualidade para minha comunidade LGBT #Orgulho #Pride;Mon Jul 30 14:51:13 +0000 2018;1;#orgulho
1023945046415036416;@diogomainardi Depois do caso Dilma-Temer, parece que todos estão com medo de escolher o vice. O vice pode ser o presidente amanhã. :-);Mon Jul 30 14:54:57 +0000 2018;1;temer :)
1023945256818094080;(Y) :) Estava com alguma expectativa sobre A Cor do Dinheiro de hoje, e quase que aposto que foi no seu seguimento que se deu a queda de um anjo... [recomendo a todos, independentemente da cor política, ouçam com... https://t.co/d8kYTmd8Pr;Mon Jul 30 14:55:47 +0000 2018;1;politica :)
1023952272429129734;"@pensoestranho ""menos pior que tem mais chances""... que restringe a escolha entre Bolso, Alckmin, Marina, Ciro. Nenhum desses é o melhor qdo se considera as todas as opções. :-)";Mon Jul 30 15:23:40 +0000 2018;1;alckmin :)
1023952765872164865;Algum infeliz colou um cartaz escrito LULA LIVRE na parada de ônibus, ao lado da escola. Meu objetivo nessa semana é arrancar o tal cartaz, já foi metade dele. Se fosse um cartaz de procurado, vivo ou morto, eu deixaria. :);Mon Jul 30 15:25:38 +0000 2018;1;lula :)
